 ,Label,Mean,X,Y,Ch,Slice,MinThr,MaxThr
19,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4548,7.650,4.313,2,8,0,65535
20,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4803,4.491,3.090,2,7,0,65535
21,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4811,4.189,3.667,2,2,0,65535
22,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4727,4.422,2.994,2,3,0,65535
23,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4454,3.516,3.681,2,2,0,65535
24,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4251,4.381,1.895,2,4,0,65535
25,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4521,4.010,4.574,2,5,0,65535
26,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4848,7.128,4.628,2,5,0,65535
27,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,5239,6.263,4.615,2,3,0,65535
28,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4814,4.944,5.137,2,4,0,65535
29,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,5448,5.988,4.889,2,1,0,65535
30,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4339,8.149,4.835,2,6,0,65535
31,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4719,7.343,6.208,2,6,0,65535
32,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4644,8.351,5.823,2,6,0,65535
33,20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_PECAM1tmr_ECADgfp_001-1.nd2:0007-0039-0054:c:2/5 z:4/15 - 20221208_hsThyroid_P3A_WB30_TPOcy5_CLDN5a594_,4601,6.373,6.593,2,6,0,65535
